combo,replication,revenue,perfect,difference
0,1,114000,117216,0.027436527
0,6,118020,118872,0.007167373
0,14,120000,120000,0.0
0,15,113220,116832,0.030916187
0,26,120000,120000,0.0
0,28,110760,115812,0.043622423
0,32,118140,118896,0.006358498
0,48,120000,120000,0.0
1,35,112878,116328,0.02965752
2,6,117276,117282,5.12e-05
2,8,117096,118008,0.00772829
2,10,109524,113340,0.033668608
2,12,116688,117450,0.006487867
2,14,118140,119700,0.013032581
2,18,115884,117030,0.009792361
2,27,120000,120000,0.0
2,28,110076,114216,0.036247111
2,31,120000,120000,0.0
2,36,116160,116784,0.005343198
2,38,119112,120000,0.0074
2,39,117012,118506,0.012606957
2,44,114360,116874,0.021510344
2,45,120000,120000,0.0
3,3,115776,118152,0.020109689
3,21,120000,120000,0.0
3,22,115680,117930,0.019079115
4,9,112956,115020,0.017944705
4,21,118422,119298,0.007342956
4,25,118110,118110,0.0
4,26,117774,118602,0.006981333
4,28,120000,120000,0.0
4,47,117828,117828,0.0
5,5,119226,120000,0.00645
5,9,107400,112524,0.045536952
5,10,115590,116292,0.006036529
5,12,110772,113910,0.027548064
5,18,117984,118650,0.005613148
5,23,116676,118704,0.017084513
5,24,107478,112788,0.047079477
5,31,120000,120000,0.0
5,35,118374,120000,0.01355
5,36,113574,114804,0.010713912
5,41,120000,120000,0.0
6,2,119766,120000,0.00195
6,6,109218,113526,0.037947254
6,8,105858,110094,0.038476211
6,9,111162,113562,0.02113383
6,17,119502,120000,0.00415
6,18,107664,111618,0.035424394
6,19,118332,120000,0.0139
6,26,116304,120000,0.0308
6,29,114666,116946,0.019496178
6,32,118506,120000,0.01245
6,35,106266,111294,0.045177638
6,42,110370,113016,0.023412614
6,45,120000,120000,0.0
7,0,118320,120000,0.014
7,8,107412,112098,0.041802708
7,12,117132,120000,0.0239
7,14,116220,117570,0.011482521
7,15,115272,117006,0.014819753
7,16,115368,117198,0.015614601
7,25,116100,118932,0.023811926
7,27,115596,117048,0.012405167
7,28,108684,112560,0.034434968
7,35,115620,116748,0.009661836
7,48,120000,120000,0.0
8,10,116328,119238,0.024404972
8,16,103776,108744,0.045685279
8,28,114744,118920,0.035116044
8,29,103920,108570,0.042829511
8,31,112596,115986,0.029227665
8,32,118896,120000,0.0092
8,48,116532,120000,0.0289
9,1,107520,112158,0.041352378
9,6,120000,120000,0.0
9,8,105192,109776,0.041757761
9,9,116016,120000,0.0332
9,18,105864,111144,0.047505938
9,27,107136,111954,0.043035532
9,29,107928,112380,0.03961559
9,30,105888,110784,0.044194107
9,34,104664,109698,0.045889624
9,36,103656,108576,0.045313882
9,40,114216,120000,0.0482
9,44,110880,116532,0.048501699
10,6,110208,114270,0.035547388
10,8,117528,119340,0.015183509
10,10,118644,120000,0.0113
10,12,118788,120000,0.0101
10,20,116760,117072,0.002665027
10,23,117876,120000,0.0177
10,26,117798,120000,0.01835
10,30,117894,120000,0.01755
10,40,116826,119580,0.023030607
10,42,118266,120000,0.01445
11,1,107598,112098,0.040143446
11,2,106704,112146,0.048526029
